business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
INFRAMART EQUIPMENT SERVICES,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",N/A,http://www.inframartequip.in/,4.5,2.0,"64CG+78Q, Kalyan East, Pisavli Village, Nandivali Gaon, Kalyan, Maharashtra 421306","Kalyan East, Pisavli Village, Nandivali Gaon",19.220689999999998,73.12601,ChIJ3cinBgCV5zsR9yDyRfoNIf0,https://www.google.com/maps/place/?q=place_id:ChIJ3cinBgCV5zsR9yDyRfoNIf0,part_136,2026-09-22 06:13:21
Samarth Safety Industries,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 91361 02525,N/A,3.7,3.0,"64JP+JC2, Kolsewadi, Shivaji Colony, Kalyan, Maharashtra 421306","Kolsewadi, Shivaji Colony",19.2315464,73.1361587,ChIJubQJ90yV5zsReio8CuiZzwU,https://www.google.com/maps/place/?q=place_id:ChIJubQJ90yV5zsReio8CuiZzwU,part_136,2026-09-22 06:13:21
Industrial Equipments Services( Pump and Motor Supplier),Industrial Equipment Suppliers,Pump supplier,Pump supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 83800 38300,http://www.industrialequipmentsservices.com/,5.0,1.0,"Unit no 205, I Wing, Ambernath Industrial Park, Udyog Bhavan 2,Plot No k1, Additional M.I.D.C, Ambernath, Maharashtra 421506",Additional M.I.D.C,19.1783863,73.1990062,ChIJL8jEuXyT5zsR4aHzOu9Xq-s,https://www.google.com/maps/place/?q=place_id:ChIJL8jEuXyT5zsR4aHzOu9Xq-s,part_136,2026-09-22 06:13:21
NITYA ENTERPRISES,Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 91378 73236,N/A,,,"Flat No.608, Chakki Naka, Shivom Galaxy, Kalyan East, Kalyan, Maharashtra 421306",Kalyan East,19.223985,73.124462,ChIJsWOCfOCV5zsRvjfsF0_y4_k,https://www.google.com/maps/place/?q=place_id:ChIJsWOCfOCV5zsRvjfsF0_y4_k,part_136,2026-09-22 06:13:21
R.K Traders,Industrial Equipment Suppliers,Electrical equipment supplier,"Electrical equipment supplier, Pump supplier",421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 98192 12882,N/A,5.0,1.0,"Shop 12, Sai Suman Tower, Tisgaon Naka, Kalyan East, Kalyan East, Maharashtra 421306","Tisgao Naka, Kalyan East",19.2247833,73.1325792,ChIJBbVeQ02V5zsRysWRUaiNzJU,https://www.google.com/maps/place/?q=place_id:ChIJBbVeQ02V5zsRysWRUaiNzJU,part_136,2026-09-22 06:13:21
Super Speciality Tapes,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 92233 56803,N/A,,,"Lakha Shinda, CHAWL, no: 08, Pisavali Ganv, Kalyan East, Pisavli Village, Dombivli East, Kalyan, Maharashtra 421306","Kalyan East, Pisavli Village, Dombivli East",19.2178774,73.1235815,ChIJqbwUmFiV5zsR730x7Tc5tc8,https://www.google.com/maps/place/?q=place_id:ChIJqbwUmFiV5zsR730x7Tc5tc8,part_136,2026-09-22 06:13:21
"Multitech Automation - HMI,PLC,SERVO DRIVE, VFD, OPERATING PANEL, INDUSTRIAL PC, INDUSTRIAL EQUIPMENT REPAIRING SERVICES",Industrial Equipment Suppliers,Automation company,Automation company,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 97027 52096,N/A,4.9,11.0,"Shop no. 7, Aarthi apartment Church Road, Chinchpada Rd, near DNS School, Kalyan East, Kalyan, Maharashtra 421306","Kalyan East, Chinchpada Gaon",19.2103705,73.1408404,ChIJ9ZW4CK-V5zsRo4vT0V2Uw24,https://www.google.com/maps/place/?q=place_id:ChIJ9ZW4CK-V5zsRo4vT0V2Uw24,part_136,2026-09-22 06:13:21
Mahalaxmi Enterprise,Industrial Equipment Suppliers,Weighing Scale Supplier,"Weighing Scale Supplier, Weigh station",421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 86526 75043,N/A,5.0,5.0,"Shri Swami Samarth co.op society, Old, 07, Kalyan Janata bank road, behind Model English High School, Kalyan East, Maharashtra 421306",Kalyan East,19.2290007,73.137496,ChIJ_aVxjkKV5zsRypXdL0wU1TE,https://www.google.com/maps/place/?q=place_id:ChIJ_aVxjkKV5zsRypXdL0wU1TE,part_136,2026-09-22 06:13:21
SAI COOL SERVICES,Industrial Equipment Suppliers,Air compressor supplier,Air compressor supplier,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",+91 93246 31919,https://www.saicoolservices.net/,5.0,1.0,"09/A Wing, 2nd Floor Shree Mangal Co-Op Hsg Soc Katemanavali, Chinchpada, Kalyan (E, Maharashtra 421306",Ganesh Nagar,19.224650099999998,73.1403385,ChIJzYowZjGV5zsRn56d1R7Fq6A,https://www.google.com/maps/place/?q=place_id:ChIJzYowZjGV5zsRn56d1R7Fq6A,part_136,2026-09-22 06:13:21
Shivdhan Industrial Packers,Industrial Equipment Suppliers,Woodworking supply store,Woodworking supply store,421306,Maharashtra circle,Navi Mumbai Region,Thane Division,"Dwarli B.O, Mangrul B.O, Wadi B.O",N/A,N/A,5.0,1.0,"plot no B 95/1, Anand Nagar, MIDC, Ambernath, Maharashtra 421506","Anand Nagar, MIDC",19.181051399999998,73.18401539999999,ChIJwZYcvBCT5zsR8rgGt5zwvJo,https://www.google.com/maps/place/?q=place_id:ChIJwZYcvBCT5zsR8rgGt5zwvJo,part_136,2026-09-22 06:13:21
