business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Digibrand Media - Digital Marketing Service provider Agency in Kolhapur,Local SEO Agencies,Internet marketing service,"Internet marketing service, Marketing agency",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97625 79625,N/A,4.8,9.0,"Flat No E-301, Hirashree Lake City, near Shalini Palace, Rankala, Kolhapur, Maharashtra 416010",Rankala,16.6920759,74.2050149,ChIJgTZoTNQBwTsRPxSRnuGgfsA,https://www.google.com/maps/place/?q=place_id:ChIJgTZoTNQBwTsRPxSRnuGgfsA,part_133,2026-09-22 06:01:01,4399
IP Websoft,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Design agency, E-commerce service, Graphic designer, Software company, Marketing agency, Marketing consultant, Web hosting company, Website designer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99232 64545,https://ipwebsoft.com/,4.6,17.0,"F-03 & 04, Atharv Elegance, 1st Ln, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.701965899999998,74.2339181,ChIJPU-9j6-qwTsR526YaWoom3Y,https://www.google.com/maps/place/?q=place_id:ChIJPU-9j6-qwTsR526YaWoom3Y,part_133,2026-09-22 06:01:01,4400
Agnis Designers,Local SEO Agencies,Internet marketing service,"Internet marketing service, Branding agency, Design agency, Graphic designer, Website designer, Web hosting company",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 85305 11711,https://www.agnisdesigners.com/#utm_source=GMBListing&utm_medium=Organic,4.8,69.0,"201, B Wing, Rishabh Siddhi Appt, Behind Mahaveer Garden, Nagala Park, Kolhapur, Maharashtra 416001",New Shahupuri,16.705772,74.231014,ChIJcwSTEm4AwTsRJCuk6iaoupM,https://www.google.com/maps/place/?q=place_id:ChIJcwSTEm4AwTsRJCuk6iaoupM,part_133,2026-09-22 06:01:01,4401
USA Local SEO,Local SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment, Marketing consultant, Marketing agency",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://usalocalseo.com/,5.0,16.0,"USA Local SEO, 416116, India",416116,40.7813047,-73.9771184,ChIJzUtoDWv7kosRplx37QQC6GQ,https://www.google.com/maps/place/?q=place_id:ChIJzUtoDWv7kosRplx37QQC6GQ,part_133,2026-09-22 06:01:01,4402
Instant Website Development,Local SEO Agencies,Website designer,Website designer,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96657 84568,https://instantwebsitedevelopment.in/,4.8,55.0,"1242 E, First Floor, Shahu Soot Kapad Kamgar sangh, Bagal Chowk, opp. Shahu Mill, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.6981172,74.2381032,ChIJIV5xn-8BwTsR4eNQvvEHEWs,https://www.google.com/maps/place/?q=place_id:ChIJIV5xn-8BwTsR4eNQvvEHEWs,part_133,2026-09-22 06:01:01,4403
One Click SEO,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Marketing consultant, Web hosting company, Website designer",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://oneclickseo.agency/,5.0,,"One Click SEO, 416116, India",416116,29.903546,-89.8876344,ChIJS1ygQYqlIIYRDM-8YG4sHEE,https://www.google.com/maps/place/?q=place_id:ChIJS1ygQYqlIIYRDM-8YG4sHEE,part_133,2026-09-22 06:01:03,4404
ReeachSky Digital Marketing Services,Local SEO Agencies,Internet marketing service,"Internet marketing service, Graphic designer, Website designer",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 86460 01717,https://api.whatsapp.com/send?phone=918646001717&text=Hello,5.0,,"Chinchwad, Kolhapur, Maharashtra 416119",416118,16.7051166,74.3176453,ChIJ21K-6qUDwTsR0McWGVzDdUU,https://www.google.com/maps/place/?q=place_id:ChIJ21K-6qUDwTsR0McWGVzDdUU,part_133,2026-09-22 06:01:49,7558
Web Design Company in Kolhapur,Local SEO Agencies,Website designer,"Website designer, Corporate office",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 90283 38779,http://takebusinessonline.in/,5.0,,"Suryaji Appartment, Saneguruji Vasahat, Kanerkar Nagar, Kolhapur, Maharashtra 416011","Saneguruji Vasahat, Kanerkar Nagar",16.681543299999998,74.2053971,ChIJOcBQhk-rwTsR0Jdgw-YpXzA,https://www.google.com/maps/place/?q=place_id:ChIJOcBQhk-rwTsR0Jdgw-YpXzA,part_133,2026-09-22 06:01:49,7559
Jpelike Solutions Pvt.Ltd,Local SEO Agencies,Marketing agency,Marketing agency,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 95610 53995,http://www.jpelike.com/,5.0,,"Block No. 40, E, Narayan, Shivaji Park, Kolhapur, Maharashtra 416001",Shivaji Park,16.7049251,74.2466665,ChIJsQgYKBQBwTsRgP1qkQp4h8M,https://www.google.com/maps/place/?q=place_id:ChIJsQgYKBQBwTsRgP1qkQp4h8M,part_133,2026-09-22 06:01:49,7560
Nucleosys Tech Pvt. Ltd.,Local SEO Agencies,Marketing agency,"Marketing agency, Design agency, E-commerce service, Software company, Website designer",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 88660 64848,https://nucleosystech.com/,4.9,,"Office 409, Wall Street 24, Bengaluru - Mumbai Hwy, above McDonald's, Motiram Nagar, Warje, Pune, Maharashtra 411058","Motiram Nagar, Warje",18.4875366,73.7962732,ChIJS2tKCtm_wjsRsUwVTzzxl08,https://www.google.com/maps/place/?q=place_id:ChIJS2tKCtm_wjsRsUwVTzzxl08,part_133,2026-09-22 06:01:51,7561
Seo specialist,Local SEO Agencies,Marketing consultant,"Marketing consultant, Service establishment",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",0303 8950430,N/A,5.0,,"Seo specialist, 416118, India",416118,30.9658895,70.9501612,ChIJu7_rCbBqGY0RXg89cJVug4o,https://www.google.com/maps/place/?q=place_id:ChIJu7_rCbBqGY0RXg89cJVug4o,part_133,2026-09-22 06:01:51,7562
