business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Madhavbaug – Ayurvedic Cardiac Care Clinic & Panchakarma Center (Ulhasnagar East),Clinics,Heart hospital,"Heart hospital, Alternative Medicine Clinic, Alternative medicine practitioner, Ayurvedic clinic, Cardiologist, Diabetes center, Health consultant, Weight loss service, Wellness center",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 93209 29735,https://madhavbaug.org/clinic/ulhasnagar-thane/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=ulhasnagar-thane,4.8,,"Netaji Chauk, 2nd Floor, Block No C, 858, Main Road, near Prabhat Hospital, above Union Bank, Ulhasnagar, Maharashtra 421005",Kailash Colony,19.2061094,73.1618467,ChIJmw_MI2eU5zsR5aMtqCv2wEk,https://www.google.com/maps/place/?q=place_id:ChIJmw_MI2eU5zsR5aMtqCv2wEk,part_136,2026-09-22 06:04:28
Royal Clinic,Clinics,Medical clinic,Medical clinic,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 75075 59656,N/A,4.7,,"Room no 9, opp. Bk. No.534, near Hari Ganga Bhavan, Siru Chowk, Press Bazar, Ulhasnagar, Maharashtra 421002","Siru Chowk, Press Bazar",19.2346978,73.165628,ChIJK8-koZCV5zsRHhBJelymPok,https://www.google.com/maps/place/?q=place_id:ChIJK8-koZCV5zsRHhBJelymPok,part_136,2026-09-22 06:04:28
Dr.R H Sharma,Clinics,Medical clinic,Medical clinic,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.7,,"6587+8FC, Veer Savarkar Chowk, Krishna Nagar, Ulhasnagar, Maharashtra 421004",Krishna Nagar,19.215818199999998,73.1636429,ChIJ-fN-CQCV5zsR_dGWYQFYL84,https://www.google.com/maps/place/?q=place_id:ChIJ-fN-CQCV5zsR_dGWYQFYL84,part_136,2026-09-22 06:04:28
Satnam Clinic,Clinics,Medical clinic,Medical clinic,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 98903 72913,N/A,5.0,,"Basantram Chowk, Ulhasnagar, 113, near Basantram Chowk, Mumbai, Maharashtra 421002",Sidhi Vinayak Nagar,19.237845399999998,73.1624671,ChIJOQybZReU5zsRm43S-p-QWIU,https://www.google.com/maps/place/?q=place_id:ChIJOQybZReU5zsRm43S-p-QWIU,part_136,2026-09-22 06:04:28
Dr. Sonia's Clinic,Clinics,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Laser hair removal service, Pediatric dermatologist",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 99337 71108,https://soniaclinic.com/,4.9,,"2nd Floor, Hospital Road, Jaidev building, above Indian Bank, Ulhasnagar, Maharashtra 421003",Press Bazar,19.2265233,73.1663619,ChIJfxR9YMWV5zsRZy1DxaqeFh0,https://www.google.com/maps/place/?q=place_id:ChIJfxR9YMWV5zsRZy1DxaqeFh0,part_136,2026-09-22 06:04:28
Mahalaxmi Clinic (Dr.Namrata Kasabe),Clinics,Medical clinic,Medical clinic,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 95798 02958,N/A,5.0,,"Khemani Rd, near Balkanji Bari School, opposite Shivsena Shaka, Ajad Nagar, Press Bazar, Ulhasnagar, Maharashtra 421002","Ajad Nagar, Press Bazar",19.2314391,73.1684598,ChIJjbsA8mqV5zsRM_akzXTjGjE,https://www.google.com/maps/place/?q=place_id:ChIJjbsA8mqV5zsRM_akzXTjGjE,part_136,2026-09-22 06:04:28
Mahadev clinic,Clinics,Family practice physician,Family practice physician,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 97627 36431,https://dr.sanjaymaurya72gmail.com/,5.0,,"beside Vikas Mandir School to Ulhasnagar Station, Vasita Colony, Shiv shakti colony, Vitthalwadi, Ulhasnagar 4, Ulhasnagar, Maharashtra 421004","Vasita Colony, Shiv shakti colony, Vitthalwadi",19.220151599999998,73.1584395,ChIJix7XaUOV5zsRfnwaDUD8PtQ,https://www.google.com/maps/place/?q=place_id:ChIJix7XaUOV5zsRfnwaDUD8PtQ,part_136,2026-09-22 06:04:28
Chaitanya Health Centre,Clinics,Naturopathic practitioner,Naturopathic practitioner,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 70704 15353,N/A,4.8,,"2nd Floor, near IDBI Bank, behind Eagle Hotel, Press Bazar, Ulhasnagar, Maharashtra 421003",Press Bazar,19.2298023,73.16214649999999,ChIJDW7kuvaV5zsRdpnMKlqSIdE,https://www.google.com/maps/place/?q=place_id:ChIJDW7kuvaV5zsRdpnMKlqSIdE,part_136,2026-09-22 06:04:28
Sai kripa clinic (ayurvedic piles care clinic),Clinics,Doctor,"Doctor, Acupuncture clinic, Acupuncturist, Alternative medicine practitioner, Ayurvedic clinic, Proctologist",421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",+91 89832 53531,https://drnagurmogal.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,5.0,,"Sai kripa clinic, church road, near first gate, opp. Suresh Gupta kirana store, Subhash Nagar, Press Bazar, Ulhasnagar, Maharashtra 421002","Subhash Nagar, Press Bazar",19.224978099999998,73.16864439999999,ChIJPcFmV-aV5zsRBnKlnLJYQLA,https://www.google.com/maps/place/?q=place_id:ChIJPcFmV-aV5zsRBnKlnLJYQLA,part_136,2026-09-22 06:04:28
RAJ'S GETWELL CLINIC,Clinics,Medical clinic,Medical clinic,421002,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Ulhasnagar 2 S.O, Bhaji Market S.O, Bus Terminus",N/A,N/A,4.2,,"65P9+MCJ, Baba Notandas Darbar Rd, Zaveri Bazar, Mukund Nagar, Ulhasnagar, Maharashtra 421002","Zaveri Bazar, Mukund Nagar",19.2367131,73.1685099,ChIJ74S0ThCU5zsRB4rEIUtrW8Q,https://www.google.com/maps/place/?q=place_id:ChIJ74S0ThCU5zsRB4rEIUtrW8Q,part_136,2026-09-22 06:04:28
