business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"WAW Roof – Best Roofing Sheets Manufacturer | uPVC, Color Coated, Curved & Polycarbonate Sheets in Mumbai & Pune",Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Industrial equipment supplier, Metal construction company, Metal processing company, Manufacturer, Roofing supply store, Sheet metal contractor, Steel construction company, Steel fabricator",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,https://wawroof.com/,4.8,4.0,"Survey no. 218/4-1, Gala no. 448, Near Bafna motors Village Dhansar Taluka Panvel Dhansar, Dhansar, Gaon Road, Panvel, Maharashtra 410208",Panvel,19.106615899999998,73.0688949,ChIJ6y89n-fB5zsRaUUj6rdk1KY,https://www.google.com/maps/place/?q=place_id:ChIJ6y89n-fB5zsRaUUj6rdk1KY,part_136,2026-09-22 06:10:02
"Taloja Roofing Industries – Roofing Sheets, Industrial Sheds & Fabrication Panvel",Roofing Sheet Supplier,Manufacturer,"Manufacturer, Roofing supply store",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 93226 81996,https://talojaroofingindustries.com/,5.0,1.0,"Gala No. 4, Village Bhandari, Sadruddin Estate, Panvel Rd, opp. Choudhary Market, near Sahyadri Foundation, Dahisar, Mumbai, Thane, Maharashtra 421204",Dahisar,19.1279498,73.0546007,ChIJJbLiwgbB5zsRujfnfYsUO4c,https://www.google.com/maps/place/?q=place_id:ChIJJbLiwgbB5zsRujfnfYsUO4c,part_136,2026-09-22 06:10:02
Manufacturing Stainless Steel Roofing Sheets,Roofing Sheet Supplier,Manufacturer,Manufacturer,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 98196 86647,N/A,,,"Rai Sahab Maruti Nandan Bungalow, E / 9, Kalyan - Shilphata Rd, Kolegaon, Dombivli East, Thane, Kalyan, Maharashtra 421204","Kolegaon, Dombivli East",19.173376299999997,73.0861582,ChIJ72GLTAi_5zsRT113vqaNj94,https://www.google.com/maps/place/?q=place_id:ChIJ72GLTAi_5zsRT113vqaNj94,part_136,2026-09-22 06:10:02
AXIA INDUSTRIES,Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Iron & Steel Store, Metal industry suppliers, Metal supplier, Roofing supply store, Steel distributor",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",N/A,https://www.axiaindustries.com/,5.0,9.0,"Ground Floor, Survey No 156/4/1, Gaon, Dhansar, Panvel, Maharashtra 410206",Dhansar,19.105985,73.06908299999999,ChIJs2NNmjXB5zsRmga6DZtc9zs,https://www.google.com/maps/place/?q=place_id:ChIJs2NNmjXB5zsRmga6DZtc9zs,part_136,2026-09-22 06:10:02
Aquashield Building Systems - Roofing Sheets & PUF Panels Manufacturer - Navi Mumbai,Roofing Sheet Supplier,Steel fabricator,Steel fabricator,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 86559 59292,https://metalfabrications.co.in/,5.0,1.0,"Wavanje, Taloja, Navi Mumbai, Vavanje, Maharashtra 410208","Wavanje, Taloja",19.0813737,73.1468325,ChIJZ2UKBBnr5zsRIy7mX8m6nSk,https://www.google.com/maps/place/?q=place_id:ChIJZ2UKBBnr5zsRIy7mX8m6nSk,part_136,2026-09-22 06:10:02
Reliable Roofing Private Limited,Roofing Sheet Supplier,Roofing contractor,Roofing contractor,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 88282 57169,http://reliableroofing.in/,4.8,14.0,"Plot No - 3, Survey no. - 25/4 Near Bharat Weight Bridge Nagzari Village, Dist, Taloja, Panvel, Maharashtra 410208","Phase 1, Taloja",19.0962233,73.12877139999999,ChIJvUK8frHr5zsR7KOoAKcPneI,https://www.google.com/maps/place/?q=place_id:ChIJvUK8frHr5zsR7KOoAKcPneI,part_136,2026-09-22 06:10:02
Universal Traders,Roofing Sheet Supplier,Roofing supply store,Roofing supply store,421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 98676 52800,N/A,5.0,20.0,"Kiravli Village, Panvel, Maharashtra 410208",Kiravli Village,19.1054545,73.0671904,ChIJ9URy4jTA5zsRXJld53Cvzcs,https://www.google.com/maps/place/?q=place_id:ChIJ9URy4jTA5zsRXJld53Cvzcs,part_136,2026-09-22 06:10:02
"Aman Infra Projects – Roofing Sheets, GC Sheets, PUF Panels, Polycarbonate Sheets & Purlins Manufacturer | Mumbai,Maharashtra",Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Contractor, Metal fabricator, Manufacturer, Roofing supply store",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 88289 49292,http://amanroofings.com/,3.7,3.0,"Survey no. 111/1B, Gala No. 03, Near Sai Baba Weight Bridge, Behind Bombay Beer, Taloja MIDC, Wawanja Gaon Road, Dist, Tal Panvel, Raigad, Vavanje, Maharashtra 410208","Tal Panvel, Raigad",19.0812098,73.14668859999999,ChIJF6kKqg7r5zsR1t743L82Q0o,https://www.google.com/maps/place/?q=place_id:ChIJF6kKqg7r5zsR1t743L82Q0o,part_136,2026-09-22 06:10:02
FAISAL ROOFING PEB MANUFACTURING UNIT 2,Roofing Sheet Supplier,Roofing contractor,"Roofing contractor, Manufacturer, Steel construction company, Steel distributor, Steel fabricator, Steel framework contractor, Steelwork design service",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 70390 00041,https://www.faisalroofing.com/contact.html,4.5,84.0,"Survey No.84, 2, Village, behind Zia Hospital, Wavanje, Taloja, Vavanje, Maharashtra 410208","Wavanje, Taloja",19.0820191,73.15518449999999,ChIJm9TMSoPr5zsRqRRRyNpnk-A,https://www.google.com/maps/place/?q=place_id:ChIJm9TMSoPr5zsRqRRRyNpnk-A,part_136,2026-09-22 06:10:02
Shah & Modi,Roofing Sheet Supplier,Steel distributor,"Steel distributor, Supplier, Manufacturer, Metal supplier, Pipe supplier, Roofing supply store, Steel fabricator, Wholesaler",421204,Maharashtra Circle,Navi Mumbai Region,Thane Division,"Manpada S.O, Khoni B.O, Nilje B.O",+91 99205 25626,https://www.ironsteel.co.in/,4.9,98.0,"Weigh Bridge, C/39/A Gami Industrial Park, opp. Pawne, near Turbhe, MIDC Industrial Area, Pawne, Navi Mumbai, Maharashtra 400703","MIDC Industrial Area, Pawne",19.092011799999998,73.0279463,ChIJXaMSXxTB5zsRDDOvAPoLwz4,https://www.google.com/maps/place/?q=place_id:ChIJXaMSXxTB5zsRDDOvAPoLwz4,part_136,2026-09-22 06:10:04
