business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Godavari distributors(agency),Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,4.6,5.0,"near Nagare petrol pump, Sahakar Bank Colony, Subhadranagar, Kopargaon, Maharashtra 423601","Sahakar Bank Colony, Subhadranagar",19.8881372,74.46815629999999,ChIJ3xEw0pxF3DsR-FF-9X4X8pU,https://www.google.com/maps/place/?q=place_id:ChIJ3xEw0pxF3DsR-FF-9X4X8pU,part_138,2026-09-22 06:19:04
Apex medico,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",+91 83083 36648,http://www.apexmedico.com/,3.7,3.0,"3rd floor, Dr. Bhalla hospital, Dharangaon Rd, Kopargaon, Maharashtra 423601",Subhadranagar,19.884538199999998,74.47532629999999,ChIJO8gGQqNF3DsR4kDo3eUcZtU,https://www.google.com/maps/place/?q=place_id:ChIJO8gGQqNF3DsR4kDo3eUcZtU,part_138,2026-09-22 06:19:04
Shri arihant medical and general stores,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,5.0,3.0,"VFJF+F63, Vivekanand Nagar Road, Gandhi Nagar, Kopargaon, Maharashtra 423601",Gandhi Nagar,19.8811488,74.4730615,ChIJaQnxl_JF3DsRvzxYwdoWcDQ,https://www.google.com/maps/place/?q=place_id:ChIJaQnxl_JF3DsRvzxYwdoWcDQ,part_138,2026-09-22 06:19:04
Om Sai Medical Kopargaon,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",+91 94041 11315,N/A,,,"Naikwade hospital, Bank Rd, Mahadevnagar, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8819367,74.4766537,ChIJt3WQhWBE3DsRGYcTOIOpVRE,https://www.google.com/maps/place/?q=place_id:ChIJt3WQhWBE3DsRGYcTOIOpVRE,part_138,2026-09-22 06:19:04
Mayur Medical & General Stores,Medical Equipment Supplier,Drug store,"Drug store, Medical supply store",423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,4.8,4.0,"VFMH+H28, Mahadevnagar, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8839243,74.4775666,ChIJQYIf6q9F3DsRPVaRf36EV6U,https://www.google.com/maps/place/?q=place_id:ChIJQYIf6q9F3DsRPVaRf36EV6U,part_138,2026-09-22 06:19:04
Shashwat Medical,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,,,"Jai Malhar complex, Main Rd, Kopargaon, Mahegaon Deshmukh, Maharashtra 423602",423601,19.904849199999997,74.3852627,ChIJD8cLlixP3DsRl838lSEaQQE,https://www.google.com/maps/place/?q=place_id:ChIJD8cLlixP3DsRl838lSEaQQE,part_138,2026-09-22 06:19:04
Precision Medicare Services,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,,,"VFJG+CQ2, Godam Galli, below KCCI Hospital, Mahadevnagar, Kopargaon, Maharashtra 423601",Mahadevnagar,19.8810832,74.47770469999999,ChIJLwMyG2dF3DsRiWmvtPMwpa4,https://www.google.com/maps/place/?q=place_id:ChIJLwMyG2dF3DsRiWmvtPMwpa4,part_138,2026-09-22 06:19:04
TATHAGAT MEDICAL STORE,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,,,"shop no 1, Lakshmi Plaza, Kopargaon - Yeola Rd, Ahmed Nagar, Kopargaon, Maharashtra 423601",Ahmed Nagar,19.8870209,74.4796155,ChIJaTiFNnBF3DsRtndS-eguQi4,https://www.google.com/maps/place/?q=place_id:ChIJaTiFNnBF3DsRtndS-eguQi4,part_138,2026-09-22 06:19:04
AKASH MEDICAL STORES,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,,,"velapur, Kopargaon, Maharashtra 423602",423601,19.9076792,74.3345518,ChIJ4Xe5SPJJ3DsRz6DQcxuWPBg,https://www.google.com/maps/place/?q=place_id:ChIJ4Xe5SPJJ3DsRz6DQcxuWPBg,part_138,2026-09-22 06:19:04
Sai asha medical & general stores,Medical Equipment Supplier,Medical supply store,Medical supply store,423601,Maharashtra Circle,Pune Region,Shrirampur Division,"Kopargaon S.O, Bramhangaon B.O, Chandekasare B.O",N/A,N/A,,,"VFMG+X2C, Dharangaon Road, Dharangoan Rd, Borawake Vasti, Samyak Nagar, Kopargaon, Maharashtra 423601","Borawake Vasti, Samyak Nagar",19.884929,74.4750219,ChIJEWBdlsRF3DsR0EjWg-J0q30,https://www.google.com/maps/place/?q=place_id:ChIJEWBdlsRF3DsR0EjWg-J0q30,part_138,2026-09-22 06:19:04
